               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.031687,            0.054654,            0.015969,             0.77251,             0.41006,             0.44617,             0.26951,            0.032325,            0.042442,             0.01518,            0.003466,            0.003466,            0.003466
                  68,            0.031352,            0.053109,             0.01553,             0.79216,             0.38731,             0.44514,             0.26713,            0.032819,            0.043118,            0.015353,            0.003367,            0.003367,            0.003367
                  69,            0.031632,            0.053318,            0.015751,             0.71552,             0.42282,             0.43041,             0.25916,            0.032333,            0.042717,            0.015256,            0.003268,            0.003268,            0.003268
                  70,            0.031352,            0.053816,            0.015338,             0.69576,             0.43261,             0.43697,             0.26026,            0.032919,            0.042739,            0.015242,            0.003169,            0.003169,            0.003169
                  71,            0.030974,            0.053137,            0.014848,             0.77031,              0.4001,             0.44447,             0.26918,            0.032443,            0.042451,            0.014982,             0.00307,             0.00307,             0.00307
                  72,            0.031157,            0.053672,            0.015042,             0.77251,             0.40098,             0.44921,             0.27399,            0.032111,            0.042437,            0.014905,            0.002971,            0.002971,            0.002971
                  73,            0.031169,             0.05406,            0.015107,             0.74294,             0.41846,             0.45993,             0.27909,             0.03272,            0.042909,            0.014872,            0.002872,            0.002872,            0.002872
                  74,            0.030769,            0.052463,            0.014827,             0.78976,             0.40105,              0.4648,             0.28042,            0.032813,            0.043061,            0.014964,            0.002773,            0.002773,            0.002773
                  75,            0.030724,            0.053866,            0.014549,             0.74793,             0.43185,             0.46295,             0.28034,            0.032289,            0.042697,            0.014784,            0.002674,            0.002674,            0.002674
                  76,            0.030628,            0.053487,            0.014699,             0.79732,             0.41128,             0.46838,             0.28314,             0.03272,            0.042772,            0.014932,            0.002575,            0.002575,            0.002575
                  77,            0.030495,            0.052695,            0.014519,             0.80733,             0.38694,              0.4675,             0.28217,            0.032546,            0.042957,            0.014733,            0.002476,            0.002476,            0.002476
                  78,            0.030582,            0.053317,            0.014341,             0.81838,             0.39346,             0.47199,             0.28623,            0.032212,            0.042852,            0.014817,            0.002377,            0.002377,            0.002377
                  79,            0.030612,            0.053257,            0.014439,             0.83187,             0.39805,             0.49036,             0.30276,            0.032195,             0.04273,            0.014674,            0.002278,            0.002278,            0.002278
                  80,             0.03015,            0.052206,            0.014403,             0.71761,             0.43731,             0.48096,             0.29208,             0.03257,            0.042956,            0.014673,            0.002179,            0.002179,            0.002179
                  81,            0.030279,              0.0529,             0.01403,             0.75277,             0.43321,             0.49081,             0.29864,            0.032608,            0.043096,            0.014714,             0.00208,             0.00208,             0.00208
                  82,            0.030145,            0.052955,             0.01381,             0.70346,              0.4592,             0.48435,             0.29222,            0.032711,            0.043141,            0.014492,            0.001981,            0.001981,            0.001981
                  83,            0.029869,            0.052092,            0.013695,             0.78088,             0.44285,             0.48643,             0.29531,            0.032451,              0.0432,            0.014738,            0.001882,            0.001882,            0.001882
                  84,            0.029679,            0.051641,            0.013741,             0.78955,             0.41675,             0.48917,             0.29741,            0.032513,            0.043381,             0.01462,            0.001783,            0.001783,            0.001783
